index,Name,Roll no.,OS,DAA,ML,Gender,Total,average,Grade,Status
118,utqkgduedg,21BAI1380,51,53,95,M,199,66.33333333333333,C,P
119,sieiazjzzq,21BRS1265,81,49,11,F,141,47.0,E,P
120,fddycooirt,21CPS1334,84,94,88,M,266,88.66666666666667,A,P
121,agxolcgpuf,21CPS1580,97,98,36,F,231,77.0,B,P
122,yomraxpnnc,21CSE1532,89,58,9,F,156,52.0,D,P
123,eomajzzwps,21CSE1523,22,74,19,F,115,38.333333333333336,F,F
124,tdmuzxcapl,21CPS1371,66,87,39,M,192,64.0,C,P
125,sevqssmtdl,21CSE1538,88,91,76,M,255,85.0,A,P
126,pisyanpqlj,21BAI1573,83,24,73,M,180,60.0,D,P
127,ihmjcrzntk,21BRS1312,70,73,56,F,199,66.33333333333333,C,P
128,mjyiejnzyg,21BRS1187,33,83,16,F,132,44.0,E,P
129,geogiycywb,21BAI1581,71,18,12,M,101,33.666666666666664,F,F
130,fcnjyjazzv,21BAI1168,87,70,99,M,256,85.33333333333333,A,P
131,jswckuhjih,21CSE1238,89,28,56,M,173,57.666666666666664,D,P
132,ouhpllyrbq,21BRS1019,21,25,100,M,146,48.666666666666664,E,P
133,tvgemlusnj,21BAI1182,79,65,56,F,200,66.66666666666667,C,P
134,qxvzjjlswl,21CSE1370,65,91,100,F,256,85.33333333333333,A,P
135,anqghvcayt,21CSE1401,42,92,29,M,163,54.333333333333336,D,P
136,ihscllcjht,21CPS1538,58,18,39,M,115,38.333333333333336,F,F
137,vghhpfyged,21CPS1559,46,60,63,M,169,56.333333333333336,D,P
138,pbggiwjgbo,21CSE1379,56,7,23,M,86,28.666666666666668,F,F
139,fzztvkrfoc,21BRS1436,82,23,10,M,115,38.333333333333336,F,F
140,bidhvkqmut,21BRS1477,17,5,73,F,95,31.666666666666668,F,F
141,swhoaacbbb,21BRS1528,45,98,11,M,154,51.333333333333336,D,P
142,liyzcqrddg,21BRS1008,99,42,74,F,215,71.66666666666667,B,P
143,mpehieobiy,21BRS1482,101,79,48,M,228,76.0,B,P
144,lrjwgegpyh,21BRS1184,28,36,88,M,152,50.666666666666664,E,P
145,wyvwiksuqt,21BAI1238,21,35,47,M,103,34.333333333333336,F,F
146,krgxvttluu,21BRS1377,101,33,68,M,202,67.33333333333333,C,P
147,vwvosmfisf,21CSE1073,63,15,19,F,97,32.333333333333336,F,F
148,bfyqcyvfqe,21BAI1130,28,18,68,M,114,38.0,F,F
149,mxjxdahrxk,21BAI1015,83,23,37,F,143,47.666666666666664,E,P
150,berdqjubfw,21BRS1048,5,42,96,F,143,47.666666666666664,E,P
151,yhdoxbjans,21BRS1151,51,67,61,M,179,59.666666666666664,D,P
152,ygfzpocyjx,21BRS1036,70,101,54,F,225,75.0,B,P
153,kgwrjjcjas,21CSE1282,92,47,90,F,229,76.33333333333333,B,P
154,gyhnfvfqyl,21CPS1491,89,82,82,F,253,84.33333333333333,A,P
155,ngzubafxjc,21BRS1039,21,88,68,M,177,59.0,D,P
156,vviqdoazjb,21BRS1458,47,27,60,M,134,44.666666666666664,E,P
157,ncnipmvucp,21CSE1244,66,7,22,M,95,31.666666666666668,F,F
158,cqtbpstlxu,21CPS1345,3,70,26,F,99,33.0,F,F
159,ulrsgthaee,21BAI1596,72,81,27,M,180,60.0,D,P
160,ljumssdxks,21BRS1358,33,52,67,M,152,50.666666666666664,E,P
161,xbjxxlyiem,21CSE1043,19,92,50,M,161,53.666666666666664,D,P
162,vjophpyqbi,21CSE1517,32,16,79,M,127,42.333333333333336,E,P
163,dsbvhwadsp,21BRS1008,48,41,6,F,95,31.666666666666668,F,F
164,svroigfvch,21CSE1025,94,51,93,M,238,79.33333333333333,B,P
165,zxqimkughx,21BAI1237,36,82,4,M,122,40.666666666666664,F,P
166,qggxjfticc,21CSE1032,7,72,67,M,146,48.666666666666664,E,P
167,uuappaudvc,21CSE1345,71,10,69,F,150,50.0,E,P
168,gtimbtfbke,21BRS1454,51,66,18,M,135,45.0,E,P
169,iubzuazfia,21BRS1043,25,93,35,M,153,51.0,D,P
170,vppesxxehy,21BAI1475,29,77,31,F,137,45.666666666666664,E,P
171,omyluqdrop,21CSE1347,7,90,79,F,176,58.666666666666664,D,P
172,mcijdbdfhm,21BRS1363,83,23,83,F,189,63.0,C,P
173,osqrekawcq,21BAI1379,8,44,24,M,76,25.333333333333332,F,F
174,enxcqrxcfb,21BAI1173,94,84,15,F,193,64.33333333333333,C,P
175,qtbqlgkeqs,21BRS1335,90,70,14,F,174,58.0,D,P
176,stdxkormep,21CSE1207,99,28,31,M,158,52.666666666666664,D,P
177,shjqggmduj,21CPS1093,2,14,4,F,20,6.666666666666667,F,F
178,agkuptwduz,21CSE1465,52,34,15,M,101,33.666666666666664,F,F
179,zukrojwswg,21BAI1547,25,38,88,F,151,50.333333333333336,E,P
180,hoxjohqcuu,21CPS1154,56,43,80,F,179,59.666666666666664,D,P
181,wcqntnnjzf,21CPS1163,15,78,94,F,187,62.333333333333336,C,P
182,isnniarwgf,21BRS1247,48,11,62,F,121,40.333333333333336,F,P
183,szqcokbhvq,21BAI1259,5,28,69,M,102,34.0,F,F
184,ouebheolql,21CPS1267,7,95,58,F,160,53.333333333333336,D,P
185,yjflmapwqf,21CPS1023,41,97,70,F,208,69.33333333333333,C,P
186,uzdkweldli,21CPS1036,12,13,0,M,25,8.333333333333334,F,F
187,jsxfnhxhzi,21BAI1461,45,54,59,M,158,52.666666666666664,D,P
188,vajutjxubt,21BAI1559,33,32,64,F,129,43.0,E,P
189,eagkdphbnw,21CSE1320,55,92,81,M,228,76.0,B,P
190,wntqbfbuom,21BRS1492,80,49,85,M,214,71.33333333333333,B,P
191,oxokpqmjfe,21BAI1268,12,40,52,F,104,34.666666666666664,F,F
192,auykpkmijm,21BRS1133,101,53,4,M,158,52.666666666666664,D,P
193,tngbytvdmg,21BAI1210,100,58,65,F,223,74.33333333333333,B,P
194,ahhfmashdi,21BRS1197,24,72,89,F,185,61.666666666666664,C,P
195,upuyqgulzv,21CSE1125,94,94,85,M,273,91.0,S,P
196,kuxkavtvha,21CPS1387,82,30,34,F,146,48.666666666666664,E,P
197,jyapfbuqzk,21BRS1277,91,74,62,M,227,75.66666666666667,B,P
198,vwvjpploob,21BAI1353,33,64,87,F,184,61.333333333333336,C,P
199,rniotsjggb,21BAI1493,46,31,66,M,143,47.666666666666664,E,P
200,hxmadeuyke,21CSE1379,97,76,60,F,233,77.66666666666667,B,P
201,xuczoizltq,21BAI1369,84,33,44,M,161,53.666666666666664,D,P
202,whkpocvtuo,21BAI1365,93,13,23,M,129,43.0,E,P
203,beajzofsmq,21BRS1398,39,101,90,F,230,76.66666666666667,B,P
204,ssrpggxgee,21CPS1055,17,53,36,F,106,35.333333333333336,F,F
205,pxgbmqqvrv,21CPS1563,43,37,27,F,107,35.666666666666664,F,F
206,dtfphcandj,21CSE1304,8,75,35,M,118,39.333333333333336,F,F
207,pnteixulfz,21BAI1097,60,63,70,M,193,64.33333333333333,C,P
208,idaxbmxdiu,21CPS1580,4,70,92,F,166,55.333333333333336,D,P
209,xcddqnwtkg,21CPS1373,44,78,89,M,211,70.33333333333333,C,P
210,aomqyirtmj,21CSE1535,69,26,17,F,112,37.333333333333336,F,F
211,wbyoywlusl,21CSE1012,60,18,7,M,85,28.333333333333332,F,F
212,zhocyyggwo,21CSE1071,67,12,59,F,138,46.0,E,P
213,tirpjtgmad,21CSE1254,61,59,76,M,196,65.33333333333333,C,P
214,njtqnfuvhd,21BAI1148,24,34,62,F,120,40.0,F,F
215,xcoktdoaco,21BRS1097,52,75,51,M,178,59.333333333333336,D,P
216,hxdifrchgy,21BAI1466,12,65,99,M,176,58.666666666666664,D,P
217,wyflzxzfkb,21CPS1491,29,18,96,F,143,47.666666666666664,E,P
218,rlaymjfgap,21BRS1467,55,41,50,F,146,48.666666666666664,E,P
219,urkfrggtxj,21CSE1341,32,101,35,F,168,56.0,D,P
220,brmwcmbpck,21BRS1131,26,81,88,F,195,65.0,C,P
221,pzcqhakrdx,21BAI1449,24,30,85,F,139,46.333333333333336,E,P
222,pjfyfrtpoh,21CPS1595,5,68,43,F,116,38.666666666666664,F,F
223,iqrxtdxdkt,21BRS1459,61,81,17,F,159,53.0,D,P
224,nwhabamlbq,21CPS1441,45,43,14,M,102,34.0,F,F
225,avehnzsulh,21CPS1174,3,42,61,F,106,35.333333333333336,F,F
226,itasohmkth,21CSE1060,93,87,98,F,278,92.66666666666667,S,P
227,tbfvbshssx,21CSE1415,2,3,77,M,82,27.333333333333332,F,F
228,mjkjxnuczg,21BRS1193,14,14,89,F,117,39.0,F,F
229,ywwmxuhbzi,21CSE1515,63,87,32,M,182,60.666666666666664,D,P
230,ypufrdougm,21BRS1232,45,75,100,M,220,73.33333333333333,B,P
231,ngitrddzsz,21BAI1572,43,15,80,F,138,46.0,E,P
232,jukmmbyiey,21CSE1167,75,62,84,M,221,73.66666666666667,B,P
233,gjvfjbzexm,21CSE1196,81,81,70,M,232,77.33333333333333,B,P
234,kxuqajiyhx,21BRS1593,14,92,17,F,123,41.0,E,P
235,vindehiwbt,21CPS1176,52,24,11,F,87,29.0,F,F
236,thrgaxljrk,21CSE1290,95,57,14,F,166,55.333333333333336,D,P
237,gofpvqphxq,21CPS1077,74,72,5,F,151,50.333333333333336,E,P
238,vbbocirzxb,21BAI1014,24,80,41,F,145,48.333333333333336,E,P
239,emriqmvzrk,21CSE1427,86,38,95,F,219,73.0,B,P
240,whvmezxtpl,21BAI1192,2,86,6,M,94,31.333333333333332,F,F
241,stnzaimjyy,21CPS1571,41,8,90,M,139,46.333333333333336,E,P
242,vcjzaujusk,21BAI1337,66,3,96,M,165,55.0,D,P
243,yjbtjcrhss,21CPS1001,69,41,15,F,125,41.666666666666664,E,P
244,dwcmwhmxfj,21BRS1565,53,69,96,M,218,72.66666666666667,B,P
245,bpmseinusl,21BAI1287,70,37,56,F,163,54.333333333333336,D,P
246,bdseogidmq,21CSE1513,58,42,70,M,170,56.666666666666664,D,P
247,cijlrusyhg,21CPS1052,42,77,76,M,195,65.0,C,P
248,bdpijfprgw,21BRS1034,30,53,42,F,125,41.666666666666664,E,P
249,ueqbmebali,21CSE1119,66,17,101,M,184,61.333333333333336,C,P
250,aiewgfuvvl,21CPS1202,92,95,21,M,208,69.33333333333333,C,P
251,akyhgfhxgk,21CSE1246,48,34,98,F,180,60.0,D,P
252,xuxkgeeqcj,21CPS1175,27,25,67,F,119,39.666666666666664,F,F
253,jtantgzjwh,21BRS1250,23,91,29,F,143,47.666666666666664,E,P
254,pfcfewnqnw,21BRS1595,21,27,7,M,55,18.333333333333332,F,F
255,mdffvwsvsy,21CPS1276,17,89,1,F,107,35.666666666666664,F,F
256,jfzofqjdfx,21BAI1486,54,68,46,F,168,56.0,D,P
257,mxggancmun,21CSE1450,67,26,93,F,186,62.0,C,P
258,kxvkxxjtes,21BRS1244,73,89,73,F,235,78.33333333333333,B,P
259,xzwepmcihd,21BAI1527,27,66,4,F,97,32.333333333333336,F,F
260,tdqowhtghp,21CSE1200,1,17,101,M,119,39.666666666666664,F,F
261,vlzggayyvz,21CSE1452,56,73,54,F,183,61.0,C,P
262,dkblilsgal,21CSE1050,45,77,93,F,215,71.66666666666667,B,P
263,hezvoezrec,21BAI1124,92,51,46,F,189,63.0,C,P
264,semopfofmy,21CSE1442,76,19,34,F,129,43.0,E,P
265,mokkqxcszw,21CPS1598,8,41,53,F,102,34.0,F,F
266,avnmknmzgp,21CSE1507,90,71,70,M,231,77.0,B,P
267,ylfgvgfwgs,21BRS1305,90,94,89,F,273,91.0,S,P
268,xsibngkmdj,21CSE1381,98,33,71,F,202,67.33333333333333,C,P
269,qfrjvccest,21CSE1102,29,14,12,F,55,18.333333333333332,F,F
270,jmpeyyqioe,21BAI1305,19,86,73,F,178,59.333333333333336,D,P
271,ycoigibyzt,21CPS1594,78,31,43,M,152,50.666666666666664,E,P
272,jrnqnrhcev,21BRS1018,101,73,76,M,250,83.33333333333333,A,P
273,gteubajswd,21BRS1286,11,70,19,M,100,33.333333333333336,F,F
274,aykfeqhoch,21CSE1037,97,35,12,F,144,48.0,E,P
275,ezgoeihvlf,21BAI1146,7,82,66,M,155,51.666666666666664,D,P
276,dprppjgssy,21CPS1134,26,95,41,M,162,54.0,D,P
277,crcufgjsfn,21BRS1344,89,35,90,F,214,71.33333333333333,B,P
278,xwxxredxqb,21BAI1314,74,10,73,M,157,52.333333333333336,D,P
279,mbfqcauavs,21BAI1025,24,62,13,F,99,33.0,F,F
280,nmjhwofweg,21BRS1100,78,43,8,M,129,43.0,E,P
281,nhxztwgovo,21CPS1364,95,12,2,F,109,36.333333333333336,F,F
282,hwgccsdtrn,21CPS1280,9,17,31,F,57,19.0,F,F
283,uqnuiamsof,21BAI1007,3,40,36,F,79,26.333333333333332,F,F
284,jztpkmtpcw,21CPS1031,55,18,73,M,146,48.666666666666664,E,P
285,wrwlcdqfvh,21CPS1461,29,9,97,F,135,45.0,E,P
286,jtkkiunwcx,21BAI1361,68,70,48,F,186,62.0,C,P
287,dcvjjlvffv,21BAI1075,60,73,11,F,144,48.0,E,P
288,hxynfoympa,21BRS1114,3,87,24,M,114,38.0,F,F
289,wkbmljaemm,21BAI1151,53,42,71,F,166,55.333333333333336,D,P
290,qbfpbuoftb,21CPS1226,96,99,88,M,283,94.33333333333333,S,P
291,rblgqoofun,21BAI1583,89,86,51,F,226,75.33333333333333,B,P
292,zxyuipbmtu,21BAI1155,36,11,29,M,76,25.333333333333332,F,F
293,muselhjfvd,21CSE1038,43,71,36,F,150,50.0,E,P
294,zwzywhreeh,21BRS1254,15,56,28,M,99,33.0,F,F
295,cslvmdrvab,21BAI1238,96,41,78,M,215,71.66666666666667,B,P
296,paeojurarf,21BRS1310,55,77,82,F,214,71.33333333333333,B,P
297,ekiivnmrlm,21BAI1207,14,60,11,M,85,28.333333333333332,F,F
298,qmezngihtt,21CPS1065,93,61,1,M,155,51.666666666666664,D,P
299,fcbnzchwbc,21CSE1422,48,86,18,M,152,50.666666666666664,E,P
300,suvweavzco,21CSE1448,58,87,76,M,221,73.66666666666667,B,P
301,wbatwtbkgt,21CPS1144,62,24,60,F,146,48.666666666666664,E,P
302,oqdjpavamq,21CSE1529,50,58,9,F,117,39.0,F,F
303,naksdijkgq,21BRS1168,88,6,23,F,117,39.0,F,F
304,zkyvkuizju,21BRS1596,82,49,64,F,195,65.0,C,P
305,utqxkbipwu,21BRS1489,44,14,11,F,69,23.0,F,F
306,wfgwuwpcia,21CSE1485,46,12,17,M,75,25.0,F,F
307,hlhjwbtgky,21CPS1034,35,15,3,F,53,17.666666666666668,F,F
308,flcuhrxbdz,21CPS1567,30,99,88,F,217,72.33333333333333,B,P
309,akhwqpylqo,21CSE1479,64,60,5,M,129,43.0,E,P
310,augdmqodlo,21BRS1434,92,62,44,F,198,66.0,C,P
311,hjkypifyfp,21CPS1245,56,54,85,M,195,65.0,C,P
312,qdvbfwwnnu,21BAI1260,25,96,68,F,189,63.0,C,P
313,brckqvmerx,21BAI1111,12,58,74,F,144,48.0,E,P
314,mkssjmkezn,21CSE1028,37,73,93,M,203,67.66666666666667,C,P
315,hdfcxvclmg,21BAI1570,81,65,54,F,200,66.66666666666667,C,P
316,yzhfcsygie,21BAI1548,54,80,23,M,157,52.333333333333336,D,P
317,evcuoojyww,21BAI1145,75,10,85,M,170,56.666666666666664,D,P
318,jdxtzamrvz,21BAI1221,69,39,93,M,201,67.0,C,P
319,kaevijbhpk,21BAI1115,4,76,95,M,175,58.333333333333336,D,P
320,njwkzgrgmv,21BRS1276,36,34,39,F,109,36.333333333333336,F,F
321,znxndbkleg,21BAI1269,48,63,12,F,123,41.0,E,P
322,qtafxnofan,21BRS1120,86,36,4,M,126,42.0,E,P
323,tisczrmlsz,21BRS1579,67,75,72,M,214,71.33333333333333,B,P
324,tsfxmrpjvg,21CSE1518,45,0,45,M,90,30.0,F,F
325,glahiigygq,21CSE1163,35,53,70,F,158,52.666666666666664,D,P
326,xkaobalzuf,21CSE1492,8,8,70,M,86,28.666666666666668,F,F
327,oevdxkadzi,21BAI1570,93,43,10,F,146,48.666666666666664,E,P
328,ppabwhzzvt,21CSE1395,1,35,83,M,119,39.666666666666664,F,F
329,ntxqzivuks,21BRS1232,41,23,95,M,159,53.0,D,P
330,npikamywus,21CSE1486,97,4,65,M,166,55.333333333333336,D,P
331,zuvdprawly,21CSE1355,37,45,55,M,137,45.666666666666664,E,P
332,mxrqbeermj,21CPS1235,16,2,60,F,78,26.0,F,F
333,mvkkrjwcve,21BAI1187,26,39,84,M,149,49.666666666666664,E,P
334,yhhtkfubfz,21BRS1211,72,89,21,M,182,60.666666666666664,D,P
335,dmvkxnmgbt,21CPS1099,13,70,68,M,151,50.333333333333336,E,P
336,pkibvklxds,21CSE1311,27,5,4,F,36,12.0,F,F
337,jdtdaalyqk,21BRS1302,29,31,40,M,100,33.333333333333336,F,F
338,sfbtiklzva,21BRS1598,24,47,47,M,118,39.333333333333336,F,F
339,njzpiupaxi,21CSE1290,4,57,58,F,119,39.666666666666664,F,F
340,rhbosffarn,21CPS1421,43,38,100,F,181,60.333333333333336,D,P
341,hjzrkbczsv,21CSE1078,99,49,29,M,177,59.0,D,P
342,lbmuzxxnwq,21CPS1547,2,62,76,M,140,46.666666666666664,E,P
343,wmysevxuhp,21BAI1045,66,8,47,M,121,40.333333333333336,F,P
344,swkrdkhlnd,21CSE1330,21,77,28,M,126,42.0,E,P
345,cqduxqlsss,21CPS1117,100,18,51,M,169,56.333333333333336,D,P
346,xboyjmbovr,21BRS1074,29,5,64,M,98,32.666666666666664,F,F
347,fzngteanqk,21CSE1512,93,86,80,M,259,86.33333333333333,A,P
348,tjcfdpamgv,21BAI1568,100,1,63,M,164,54.666666666666664,D,P
349,wrwccbyfof,21CPS1070,53,87,54,M,194,64.66666666666667,C,P
350,hjhkrttpns,21BAI1564,96,18,19,F,133,44.333333333333336,E,P
351,vydvknjxpk,21BAI1110,39,85,85,M,209,69.66666666666667,C,P
352,yiwnghqenl,21CPS1516,14,31,23,F,68,22.666666666666668,F,F
353,dnzjdfwqha,21CSE1232,34,5,62,F,101,33.666666666666664,F,F
354,amvgwnstcg,21BAI1341,80,23,31,F,134,44.666666666666664,E,P
355,gdlffzwagp,21CSE1021,81,55,46,M,182,60.666666666666664,D,P
356,nufgtbpmqc,21BRS1311,85,3,48,M,136,45.333333333333336,E,P
357,qiuiykelgw,21BRS1269,63,50,81,F,194,64.66666666666667,C,P
358,lgqeqzjweb,21BRS1127,95,15,18,M,128,42.666666666666664,E,P
